REG_NUMBER	NUMBER_OF_BRANCHES	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION	BRANCH_STREET_TYPE	BRANCH_STREET_NAME	BRANCH_STREET_NUMBER	BRANCH_STREET_OTHER	BRANCH_ZIP_CODE	BRANCH_TOWN	BRANCH_PROVINCE	BRANCH_COORDINATE_X	BRANCH_COORDINATE_Y	BRANCH_PRECISION
A07054885	5	CR	PALMA ARTA	S/N	KM 30	07230	MONTUIRI	ILLES BALEARS				CL	PROVENZA	467		08025	BARCELONA	BARCELONA			
A07054885	5	CR	PALMA ARTA	S/N	KM 30	07230	MONTUIRI	ILLES BALEARS				CR	PALMA-MANACOR	s/n	KM 30	07230	MONTUIRI	ILLES BALEARS	2.992932	39.560037	
A07054885	5	CR	PALMA ARTA	S/N	KM 30	07230	MONTUIRI	ILLES BALEARS				CR	PALMA-MANCOR	s/n	KM 48	07500	MANACOR	ILLES BALEARS			
A07055015	2	CL	SETZE DE JULIOL	85	1 A PLANTA LOCAL	07009	PALMA DE MALLORCA	ILLES BALEARS	2.661199350	39.608171800	5	CL	ANTONIO MARIA ALCOVER	6		07620	LLUCMAJOR	ILLES BALEARS			
A07055015	2	CL	SETZE DE JULIOL	85	1 A PLANTA LOCAL	07009	PALMA DE MALLORCA	ILLES BALEARS	2.661199350	39.608171800	5	CL	DIECISEIS DE JULIO	85	1 PLT LO	07009	PALMA DE MALLORCA	ILLES BALEARS			
A07065188	1	CL	BLANQUERNA	10	1	07300	INCA	ILLES BALEARS	2.913246500	39.717999100	5	CR	DE INCA A LLUBI KM	6		07300	INCA	ILLES BALEARS			
A07068158	2	LG	REST BRISAMARÑCALOBRA SN			07315	ESCORCA	ILLES BALEARS	2.848102920	39.827990340	5	CL	PLAYA CALOBRA			07315	ESCORCA	ILLES BALEARS	2.848103	39.827990	5
A07068158	2	LG	REST BRISAMARÑCALOBRA SN			07315	ESCORCA	ILLES BALEARS	2.848102920	39.827990340	5	LG	CALOBRA			07315	ESCORCA	ILLES BALEARS	2.848103	39.827990	5
A07075666	2	CL	LA RAMBLA	S/N		07003	PALMA DE MALLORCA	ILLES BALEARS	2.650681900	39.572898600	7	CL	DE ANSELM TURMEDA	10		07010	PALMA DE MALLORCA	ILLES BALEARS			
A07075666	2	CL	LA RAMBLA	S/N		07003	PALMA DE MALLORCA	ILLES BALEARS	2.650681900	39.572898600	7	CL	LA RAMBLA	S/N		07003	PALMA DE MALLORCA	ILLES BALEARS			
A07085970	1	PG	SA	119	07819	07840	SANTA EULALIA DEL RIO	ILLES BALEARS	1.541028110	38.984493789	22	AV	BARTOLOME ROSELLO	12	1 PTA 2	07800	EIVISSA	ILLES BALEARS			
A07099500	5	CL	GREMI DE SELLETERS I BASTERS	S/N	POL SON C	07009	PALMA DE MALLORCA	ILLES BALEARS	2.659188300	39.606647800	7	AV	SALVADOR JUAN	17		07500	MANACOR	ILLES BALEARS			
A07099500	5	CL	GREMI DE SELLETERS I BASTERS	S/N	POL SON C	07009	PALMA DE MALLORCA	ILLES BALEARS	2.659188300	39.606647800	7	CL	GREMI DE SELLETERS I BASTERS	14		07009	PALMA DE MALLORCA	ILLES BALEARS			
A07099500	5	CL	GREMI DE SELLETERS I BASTERS	S/N	POL SON C	07009	PALMA DE MALLORCA	ILLES BALEARS	2.659188300	39.606647800	7	CL	JUAN DE MERA	6	BJOS B	28014	MADRID	MADRID			
A07099500	5	CL	GREMI DE SELLETERS I BASTERS	S/N	POL SON C	07009	PALMA DE MALLORCA	ILLES BALEARS	2.659188300	39.606647800	7	CL	MANCOR	4		07300	INCA	ILLES BALEARS			
A07099500	5	CL	GREMI DE SELLETERS I BASTERS	S/N	POL SON C	07009	PALMA DE MALLORCA	ILLES BALEARS	2.659188300	39.606647800	7	PS	MALLORCA	9	A	07012	PALMA DE MALLORCA	ILLES BALEARS			
A07101173	1	CL	MEDELLIN	5B	L. 4 BAJOS C	07006	PALMA DE MALLORCA	ILLES BALEARS	2.670439200	39.563101300	1	CL	ARAGO	24		07006	PALMA DE MALLORCA	ILLES BALEARS			1
A07114408	1	CL	JOSE COSTA I FERRER	5		07015	PALMA DE MALLORCA	ILLES BALEARS	2.610834000	39.551549000	12	CL	JOSE COSTA I FERRER	5		07015	PALMA DE MALLORCA	ILLES BALEARS			
A07126469	1	CL	BELLPUIG	11	BAJOS	07014	PALMA DE MALLORCA	ILLES BALEARS	2.630720700	39.572846300	1	CL	ARQUEBISBE JOSEP MIRALLES	4		07015	PALMA DE MALLORCA	ILLES BALEARS			
A07134844	2	CL	GRAN VIA ASIMA 4 POL S CASTELLO	S/N		07009	PALMA DE MALLORCA	ILLES BALEARS	2.673033900	39.603107500	1	CL	GRAN VIA ASIMA 4 POL S CASTELLO	s/n		07009	PALMA DE MALLORCA	ILLES BALEARS			
A07134844	2	CL	GRAN VIA ASIMA 4 POL S CASTELLO	S/N		07009	PALMA DE MALLORCA	ILLES BALEARS	2.673033900	39.603107500	1	CL	ISABEL GARAU 1	s/n		07458	SANTA MARGALIDA	ILLES BALEARS			
A07150451	1	CL	SETZE DE JULIOL	25		07009	PALMA DE MALLORCA	ILLES BALEARS	2.663858100	39.598609600	1	CL	SETZE DE JULIOL	25		07009	PALMA DE MALLORCA	ILLES BALEARS			
